name,ratings,date,helpful vote,comment
Google 사용자,1,2018년 12월 31일,15,백그라운드에서 시시때때로 사용자의 카메라를 점유하는 악질 스파이웨어나 다름없습니다. 설치하시는 분들은 주의하세요. 플래쉬나 카메라를 쓸 수가 없는 상황이 종종 발생합니다. 이 앱을 제거하는 즉시 복구되며 제거하지 않으려면 재부팅해야 합니다.
lu Kim,5,2019년 4월 5일,0,동요틀때 클로바앱에서 아기이름 등록하라는데 어떻게하나요 안보이네요
DJ LoVeR,2,2019년 1월 26일,1,스피커 킬 때 소리 안 나오게 설정할 수는 없나요? 시간이 너무 오래 걸려서 불편해요. 배터리도 너무 짧아서 맨날 껐다가 꼈다가 해야하는데 이게 너무 귀찮네요. 음성으로 종료하는 기능도 없으니 일일이 손으로 해야하고 불편합니다.
이유진,1,2019년 4월 24일,0,널 설치한게 젤후회되 ㅠ 말귀못알아먹는 클로바ㅎ
Google 사용자,2,2018년 12월 10일,0,"초기에 배타버전 사용하고 실망해서 지웠는데요. 유인나 목소리 때문에 다시 깔았어요. 그런데 역시 목소리 말고 기대를 충족 시키지 못하네요. 더 좋은 클로바가 되기를 바라며 제가 생각하는 개선사항을 말씀드릴게요. 첫 째, 개인의 목소리도 클로바에 적용 시킬 수 있으면 좋을 듯 합니다. 둘 째, 다른 어플리케이션도 사용 할 수 있어야 합니다. 예컨데, 음악 틀어달라고 하면 네이버 뮤직만 지원하는 문제요. 이 외에도 다른 어플리케이션으로도 지원 하면 좋을 듯 합니다."
황윤서,1,2018년 11월 23일,2,"어제밤에 택배받았는데 오늘 하루종일 기기찾기 접속이 계속 안됩니다. 핸드폰 3번이나 재부팅. 앱삭제후 다시설치 3번째 공장초기화 2번 아이고ㅜㅜ 다시깔고는 있는데 애는 달라고 징징 이거 진짜 속썩이네요 빙글빙글 주황색 만 계속돌고 기기찾기를 못하는데 도대체 왜이런걸까요. 하필 내일주말이고 교환신청을, 반품신청? 뭘할지고민되네요 도대체 왜 어플이 기기를 못찾는걸까요"
표세근,5,2019년 5월 4일,0,알람기능 서비스종료 개에바다
KJ Lim,3,2019년 3월 30일,0,네이버뮤직에서 바이브로 전환했는데 클로바 뮤직선텍에 바이브가 없어서 이용못하고 있어요.
김지영,1,2018년 12월 9일,0,샐리사용 중입니다. 애들 재울때 듣는 자장가가 있습니다. 호출해서 명령어 남기면 잘 나왔는데 갑자기 최근 전혀 다른 앨범에 있는 제목만 똑같은 다른곡이 계속해서 틀어지네요. 아무리 해봐도 무조건 그 곡이 나와요. 제가 '좋아요'도 해놨고 선호도도 훨씬 높은데 왜 뜬금없이 그 곡이 나와서 사람 인내심 테스트 하는건지 모르겠네요. 연주곡이라 아티스트도 애매해서 말해봤자 못알아먹네요. 앨범명을 말해도 못알아들어.. 마이 스테이션에서 틀어달래도 못알아들어..아무리 말해도 그냥 검색 최상위에 나온 그 곡만 주구장창 틀어댑니다. 참고로 제가 ...전체 리뷰
진수tv 프사로 구독자 10000명 찍기,1,2019년 2월 20일,1,디바이스페이지에서 (방해금지 외부스피커 와이파이) 목록 밑에 점두개있어서 옆으로 넘기려고하는데 페이지전체가 넘어가져요 원래이런가요?
su K,1,2018년 12월 21일,0,"지니뮤직 외부로그인이 드디어 된다그래서 돌아왔는데 이거 깐 이후로 배터리 엄청 빨리 닳아요. 비정상적으로 배터리 소모하는 어플이라고 경고창뜨고... 스피커는 여전히 음성인식 제대로 못하고, 노래소리만 작게 줄이고 싶은데 소리 줄이면 노래랑 음성 다 줄어서... 웃긴건 소리 작게해도 노래는 소리가 크다싶은데 음성은 속삭이는 수준이라 뭐래는지 안들린다는거예요. 스피커 껍데기만 바꿔서 자꾸 새로 내지 말고 좀 쓸만하게 만들었음 좋겠어요. 그냥 예쁜 쓰레기."
Google 사용자,1,2018년 12월 22일,2,"아니, 이걸 사람이 쓰라고 만든거냐? 와... 진짜 살다살다 이렇게 암걸리는 앱은 처음본다. 아니 만들거면 잘 만들어야지 이딴 식으로 만들고 사람들한테 쓰라는 거야? 구글은 사람들의 편리를 위해 몇천 억씩 써서 만들었는데 클로바는 회사의 이익만을 위해 만들었냐? 아니 생각할 수록 빡치네. 내가 발로 만들어도 이것보단 잘 만들겠다! 진짜 평점 1점 주기도 아깝다."
한훠킹,1,2018년 12월 3일,7,웨이브 블루투스 아웃(외부 스피커 페어링) 업데이트 가능한가요? 불가한가요? 최선을 다한다는 소리 말고 가능한지 불가능한지 좀 알려주세요
Brad Lee,2,2018년 12월 1일,12,클로바에서 배민 배달한번 해보려고 스킬스토어에서 계정연동하고 상세설정들어가니까 계속 일시적 오류라고. 해당 주소로 주문을 해야한다는데 주문을 얼마나 했는데 주문내역이 없데? 스킬스토어는 깔끔하게 정렬이 안되어있고 검색기능도 없어 한참 내려야 배민을 찾을수 있고 이러려면 왜서비스하는지?
Google 사용자,2,2018년 12월 5일,3,언제부터인가 웨이브에서 리모콘을 설정할수없습니다. 확인부탁드립니다. 제조사가 나오질않아요...
Google 사용자,1,2019년 1월 20일,0,"노트8과 브라운 스피커 쓰는데, 스피커가 wifi를 1년 넘게 잡지 못하는 중. 귀찮아서 안 쓰고 있는데 최근 기억나서 다시 시도해 보다가 1년전과 마찬가지로 wifi는 연결 불가라서 고장난 것 같아서 중고로 팔지도 못하겠음."
초땡,4,2018년 12월 31일,7,여러분 와이파이연결안되시면 저처럼ㅜ 쌩고생하지마시그 그냥 가족들이 와이파이 다 연결되어있어사 꽉차진않았는지 아님 블루투스 말아먹고있는지 꼭확인하고 하세요 아이구 드디어 실행했네요 단점은 네이버뮤직이 음악트는 주 앱이라서 그런지 가입안하면 1분 듣기가 끝인거 때문에 불편해서 별점한개뺌
Google 사용자,3,2019년 2월 21일,5,"이게 진짜 좋은 거예요. 근데 말귀를 못 알아듣고, 이상한 대답하고... 얘가 말을 좀 잘 알아들었으면 해요..."
고급좌석,3,2019년 2월 14일,13,가끔 알람이 울리지 않는 이유가 뭔가요..? 클로바 앱 MY에서 매일 울리게 2개를 맞춰놓고 하나는 잠들기전에 몇시에 알람만춰줘 하고 스피커에 알람설정을 했는데 간혹 전혀 알람이 울리지않는날이 있습니다. 왜그런건가요?(스피커는 wave이고 전원은 항시연결 상태입니다)
Maline Taylor,2,2018년 12월 5일,7,클로버 똥멍청해요 목소리가지고 환심사기전에 학습능력부터 키워주세요. 정보가 너무 부족하네요. 이게 그저 음성명령어 시스템이지 인공지능이 아니잖아요. 그 어디에도 인공지능 기술은 찾아볼수 없어요
Google 사용자,5,2019년 3월 5일,8,네이버 클로바앱으로 TV와 FM까지 더욱 알차고 선명하게 깔았습니다.
Google 사용자,2,2019년 2월 16일,0,최근 미세먼지 수치 알려주는 기능 업데이트 되어서 좋아요. 맨날 물어보면 모른다고만 반복해서 아는게 뭐냐고 ㅡㅡ 혼자 잘못 알아듣고 자꾸 다른 지방에 있는 가게명 불러줍니다. 저희집에는 날씨 알려주는 기능하고 블루투스 스피커로만 써요. 클로바 들이고 네이버 뮤직 가입하다 써서 클로바 연결 외엔 네이버 뮤직의 메리트가 없어서 다시 멜론으로 돌아갔어요.
조인성,3,2018년 12월 12일,0,새벽에 클로바앱이 자동으로 폰 블루투스를 끄네요. 스피커에 블루투스 연결은 되지 않은 상태입니다. 수정해주세요.
홍영기,4,2019년 2월 10일,26,좋아요 가끔 말귀 못알아먹는건 빼고 ㅠㅡㅜ 근대 음성 목소라 추가해주실수있나요? 오버워치 D VA 목소리 추가했으면 좋겠어요 다른 목소리 너무 힘이 없어서 ㅠㅠㅠ
프라시아,4,2018년 11월 30일,0,클로바 기기를 샀고 해보니 다좋은데 이거 하나만 추가해주세요 폰에 다운로드한 음악 플레이할수있는기능 클로바한테 음악 틀어달라하니 1분음악밖에 안나오더라구요 다 들을려면 돈내야하구... 구글 플레이 뮤직도 추가해주세요 ㅠㅜ
샘샘물,3,2019년 2월 10일,1,소비자의 말에 귀 기울여야 세계일류가 될거라 생각됩니다 네이버에 그런통로가 없는점 아쉽읍니다 클로버 스피커에 핸즈프리기능이 있으면좋겠읍니다(전화기를 만들라는것이 아님) 전화오면 블루투스기능에 더해서 (전화왔읍니다-전화받아 크로바-연결-통화) 하는식으로 입니다 어렵다면 핸즈프리 이어폰식으로 버튼눌러 받는다면 좋겠읍니다
오상엽,3,2018년 12월 5일,0,핸드폰 화면이 꺼져있을때 말로 클로바 어플을 키고 바로 사용하고 싶은데 그런기능은 없나요? 꼭 손으로 어플을 키고 사용해야하나요? 옛날엔 가능했던것 같은데
조수희,2,2019년 5월 9일,0,핫스팟연결 왜안되죠
Google 사용자,1,2018년 12월 29일,21,지니뮤직에서 핸드폰에 다운로드한 노래를 마이앨범에 저장하고 클로바로 노래 틀어달라고 하니깐 서비스 불가곡이라며 안틀어주네요...
김재혁,2,2018년 12월 11일,1,삼성 전자제품들도 지원가능하게 만들어주세요 그냥 채널바꾸고 노래틀때 빼곤 쓸모가없네요;; 집에 가전이 다 삼성인데
Nare A ry,1,2018년 12월 12일,0,어플 설치후 클로버 스피커랑 블루투스 페어링하니까 오류로 떠서 연결이 안되서 어플삭제후 다시 재설치하니까 어플이 설치가 안됩니다. 집에 인터넷이랑 연동하여 사용하려니 요금제가 아깝게 아무것도안되네요
Taewone Kim,2,2019년 2월 20일,0,'오케이 구글'처럼 언제든 호출 할 수 있는 기능 넣어주세요 사실 이게 제일 중요한데... 없네요.
아이스초코,1,2019년 1월 18일,0,아 왜 로그인이안되는거여 짜증나네여 진짜 ㅡㅡ 네이버앱으로로그인했는데도 실패했다그러잖아요 개발자님뭐하세요!!!!! (추가) 로그인 자꾸 안돼서 화가나서 연타로 버튼을 냅다 두드려 때렸더니 로그인되네요 이거뭐 신종게임입니까?? 개발자님뭐하세여!!!!!!!!!
김성헌,5,2018년 11월 28일,1,네 그러니까 말이에요...ㅠㅠ 다른 이용권을 주시지 연동도 안되는 엠넷을 주셨는지... 놀리는 것 같아요...
손수현,1,2018년 12월 21일,0,미니언즈와 연결조차되지 않습니다. 이 앱을 깐 이후로 블루투스가 켜졌다 꺼졌다를 수차례 반복만 할뿐 아무것도 되지 않습니다.
유영삼,5,2019년 2월 3일,1,다 좋은데 더 재밌게 반말모드 기능이 있었으면 해요.클로바와 더 재밌게 지내고 싶어서...(클로바가 나에게 반말을 쓰는것)
주현성,5,2019년 2월 17일,0,좋은데요.. 근데 트래비스 스캇의 구스범스 틀어달라고 하면 자꾸 빅 샷이라는 노래를 트네요... 인식이 더 잘 되었으면 합니다 좀 불편하네요
Wolf Pack,1,2018년 12월 2일,12,9월에 불평리뷰 남기고 좀 개선되나 했는데 드문드문 네트워크 연결 초기화되는건 여전하네 무슨 연결하면 1주일을 못감?
짱아별,4,2019년 2월 23일,0,클로바프렌즈미니 유플tv끄는것은되는데 켜는게안되는이유가뭘까요?셋톱박스수동으로껴야되고요설명서도구체적이지않고 방법좀알려주세요
임남혁,5,2019년 1월 12일,1,인식율도 좋고 간단헌 검색도 할 수 있어서 좋아욧 근데  전화기능좀 놓어주면조겠어요 전화기능 계획은 없는거에요?
안수연,3,2019년 1월 8일,0,네이버뮤직 사용하다가 벅스로 넘어왔는데 음악 듣는 앱을 벅스로 설정을 하고 이용권을 구매했는데도 불구하고 계속 1분씩 끊기네요 개선 부탁합니다 그 외엔 만족하며 쓰고있어요
Google 사용자,4,2018년 11월 30일,4,미홈 연동후이 다른 아이디로 재연동해야되는데 풀지를 못하네요...로그아웃하고 다시 새롭게 설정안됨
Jungmi P,3,2018년 11월 23일,4,라디오 틀어달라고하면 그건 아직 못배웠다고 하는데 서비스 기능 개발중인가요?!
김우열,2,2019년 1월 12일,3,구글 어시스턴트에 비해 음성 인식률이 너무 떨어집니다. 왜 한국어를 외국 기업이 더 잘 인식하는건지 모르겠어요.
Junhwan Lee,5,2019년 2월 18일,0,"""ok google""이랑 똑같은 기능 넣어줘요. 폰 화면 꺼져있어도 바로 대화가능한 거. 전화 받기랑, 문자 읽어주는 것도 넣어줘요. 알람이랑 음악앱들 연동 좀 더해줘요."
구름,1,2019년 2월 26일,0,블루투스 연결해서 노래 듣거나 영상보면 아예 폰이 렉 걸리고 되지도 않네요? ㅋㅋ 왜그런가요?
강혁진,1,2019년 2월 23일,0,지니와 연동이 자꾸 끊김.... 음악 재생을 거의 못함 일주일에 한 번씩 계속 로그인해야함. 아주 불편함
송서환,4,2019년 1월 10일,11,ㅎㅎ 좀 배우고 오더니 많이 나아졌네요! 이제 앱 안정성만 해결하면 될듯합니다!
Google 사용자,1,2018년 12월 10일,0,클로바 미니 쓰는데 배터리가 원래 이렇게 빨리 닳나요? 처음쓸때부터 한시간만에 배터리가 다.닳고 혼자 꺼지고 그러는데..
강지훈,1,2018년 12월 9일,0,lg씽큐 연동이 안됩니다 씽큐앱에서 기기 다 등록하고 연결 확인하고 네이버 클로바 앱에서 로그인하면 연결 가능한기기가 없다고 뜨네요 앱이 전체적으로 허접합니다
난몰라,2,2019년 1월 5일,0,바탕화면에서 클로바를 불러도 안나오네요 ㅡㅡ 원래기능이 없는건지 저만그런건지모르겠어도 빨리고쳐주세요 일일이 클로바들어가서 쓸바에는 은쓸래요
Google 사용자,4,2018년 12월 3일,2,진동좀 끌 수 있게 해주세요. 음성 인식 때마다 진동 울려서 좀 짜증나요
JinWoo Bae,5,2018년 12월 26일,0,내 명령어 설정  에서 음성 녹음 을 하면 타이머가 1분인대 측정해보면 30초만 녹음을 합니다. 확인해주세요
채교니,1,2018년 11월 20일,5,같은기기인대 왜 라디오기능이되는게있고 안되는게있는지 제일이해안가네요 초반 클로바 구매자인대 아직도 라디오안됨
Google 사용자,5,2019년 1월 16일,2,음악 검색창 따로 만들에주세요 그리고 ok구글처럼 그냥 어디서든 부르면 나올수 있게 해주세요
Seok-ho Seo,1,2018년 12월 3일,2,하아..... 진짜.. 웨이브 스피커는 내다 버린 자식이냐?
Google 사용자,1,2018년 12월 31일,0,샐리를 찾았는데 기기에 연결할 와이파이를 밤새도록 찾고 있네요 뭐 어떻게 해야하죠 빠른 답변 부탁드립니다
Yeon-suk Choo,2,2018년 12월 9일,0,리모콘 검색도 안돼고 매번 기계는 와이파이 연결 해제되고.. 그냥 음악 스피커 이상이하도 아님.
Google 사용자,5,2019년 1월 5일,0,인공지능의 힘! 너무나 편리합니다! 좋은 앱 감사합니다!!!!!
배동식,3,2019년 4월 4일,0,업뎃 후 미리듣기 밖에 안 돼요~
김지현,1,2018년 12월 15일,0,처음 클로바를 놓고서 다음날인가부터 계속 지맘대로 띠리링 소리가 나는데 왜그런가요 신경쓰여서 죽을꺼같아요
