,name,ratings,date,helpful vote,comment,preprocessed_comment,pos_comment
10,김선명,5,2019년 3월 30일,1,여러가지 AI 스피커를 찾아봤지만 일단 AI 스피커의 첫째는 연동성과 편리성이 가장 중요하다고 생각합니다. 일단 저는 브런트의 제품군을 많이 쓰고 있습니다. 연동이 되니 정말 편하고 좋습니다. 그냥 평범한 IOT 생활을 하는 유저 인데 네이버는 플랫폼을 많다면 더 굳건히 자리를 지킬수 있다고 생각합니다. 제품을 개발하고 생산하는것보다. 플랫폼 제휴가 제일 중요하다고 생각합니다. IOT 제품군은 정말 다양한 아이디어가 넘쳐납니다. 디자인이 정말 이쁘면 뭐합니까? 연동이 되는 서비스가 있어야죠! 그럴거면 블루투스 스피커 이쁜게 넘쳐 납...전체 리뷰,여러가지 AI 스피커를 찾아봤지만 일단 AI 스피커의 첫째는 연동성과 편리성이 가장 중요하다고 생각합니다. 일단 저는 브런트의 제품군을 많이 쓰고 있습니다. 연동이 되니 정말 편하고 좋습니다. 그냥 평범한 IOT 생활을 하는 유저 인데 네이버는 플랫폼을 많다면 더 굳건히 자리를 지킬수 있다고 생각합니다. 제품을 개발하고 생산하는것보다. 플랫폼 제휴가 제일 중요하다고 생각합니다. IOT 제품군은 정말 다양한 아이디어가 넘쳐납니다. 디자인이 정말 이쁘면 뭐합니까? 연동이 되는 서비스가 있어야죠! 그럴거면 블루투스 스피커 이쁜게 넘쳐 납...전체 리뷰,여러 가지 AI 스피커 를 찾아보 았 지만 일단 AI 스피커 의 첫째 는 연동 성 과 편리 성 이 가장 중요 하 다고 생각 하 ㅂ니다 . 일단 저 는 브런트의 제품군 을 많이 쓰 고 있 습니다 . 연동 이 되 니 정말 편하 고 좋 습니다 . 그냥 평범 하 ㄴ IOT 생활 을 하 는 유저 일 ㄴ데 네이버 는 플랫폼 을 많 다면 더 굳건히 자리 를 지키 ㄹ 수 있 다고 생각 하 ㅂ니다 . 제품 을 개발 하 고 생산 하 는 것 보 다 . 플랫폼 제휴 가 제일 중요 하 다고 생각 하 ㅂ니다 . IOT 제품군 은 정말 다양 하 ㄴ 아이디어 가 넘치 어 나 ㅂ니다 . 디자인이 정말 이쁘 면 뭐 하 ㅂ니까 ? 연동 이 되 는 서비스 가 있 어야죠 ! 그렇 ㄹ 거 이 면 블루투스 스피커 이쁘 ㄴ 게 넘치 어 납 ... 전체 리뷰
11,Byeonggon Lee,4,2019년 2월 28일,2,"클로바 앱에 관한건 아닌데 웨이브 기기 음성인식이 심하게 떨어지네요. 처음에는 이정도는 아니었던 것 같은데요. 클로바 앱, 웨이브 다 켜놓고 '수원 날씨 알려줘'를 말했고 앱은 정확하게 인식하고 보여주는데 웨이브는 '어'로 인식하고 끝냅니다. 답변은 '네 알겠어요'하고 끝나버리네요. 한 열번쯤 하니까 한번 알아듣던데 마이크 고장일까요?",클로바 앱에 관한건 아닌데 웨이브 기기 음성인식이 심하게 떨어지네요. 처음에는 이정도는 아니었던 것 같은데요. 클로바 앱 웨이브 다 켜놓고 수원 날씨 알려줘를 말했고 앱은 정확하게 인식하고 보여주는데 웨이브는 어로 인식하고 끝냅니다. 답변은 네 알겠어요하고 끝나버리네요. 한 열번쯤 하니까 한번 알아듣던데 마이크 고장일까요?,클로바 앱에 관 한거 ㄴ 아니 ㄴ데 웨이브 기기 음성인식 이 심하 게 떨어지 네요 . 처음 에 는 이정 도 는 아니 었 던 것 같 은데요 . 클로바 앱 웨이브 다 켜 어 놓 고 수원 날씨 알리 어 주 어 를 말 하 았 고 앱은 정확 하 게 인식 하 고 보이 어 주 는데 웨이브 는 어로 인식 하 고 끝내 ㅂ니다 . 답변 은 네 알 겠 어요 하 고 끝나 아 버리 네요 . 한 열 번 쯤 하 니까 한번 알아듣 던데 마이크 고장 이 ㄹ까요 ?
12,유재진,1,2019년 4월 24일,0,며칠전부터 다른 기능은 괜찮은데 알림 기능이 되지 않네요. 서비스 상태가 원활하지 않다고만 하네요. 기본적인 기능인데 왜 안되는지 이해를 할 수가 없네요.,며칠전부터 다른 기능은 괜찮은데 알림 기능이 되지 않네요. 서비스 상태가 원활하지 않다고만 하네요. 기본적인 기능인데 왜 안되는지 이해를 할 수가 없네요.,며칠전부터 다른 기능 은 괜찮 은데 알리 ㅁ 기능 이 되 지 않 네요 . 서비스 상태 가 원활 하지 않 다고 만 하 네요 . 기본 적 이 ㄴ 기능 이 ㄴ데 왜 안 되 는지 이해 를 하 ㄹ 수 가 없 네요 .
13,Hyeonbin Cho,4,2019년 2월 27일,1,"다 좋은데 지원하는 라디오 채널은 어떻게 확인하나요? sbs파워에프앰틀어줘 이러면 틀어주긴하는데 다른 채널들은 어떤게 지원되는지 확인하고 싶어요. 재미있는 라디오 골라듣게요. 클로바앱에서 아무리 찾아봐도 라디오 관련 부분은 못찾겠네요. 클로바음성이 ""앱에서 지원하는 라디오 채널을 확인하세요""라고 말했능데 정작 찾아보니 없음..ㅇㅅㅇ",다 좋은데 지원하는 라디오 채널은 어떻게 확인하나요? sbs파워에프앰틀어줘 이러면 틀어주긴하는데 다른 채널들은 어떤게 지원되는지 확인하고 싶어요. 재미있는 라디오 골라듣게요. 클로바앱에서 아무리 찾아봐도 라디오 관련 부분은 못찾겠네요. 클로바음성이 앱에서 지원하는 라디오 채널을 확인하세요라고 말했능데 정작 찾아보니 없음..ㅇㅅㅇ,다 좋 은데 지원 하 는 라디오 채널 은 어떻 게 확인 하 나요 ? sbs파워에프앰틀어줘 이렇 면 틀 어 주 기 ㄴ 하 는데 다른 채널 들 은 어떻 ㄴ 게 지원 되 는지 확인 하 고 싶 어요 . 재미있는 라디오 고르 아 듣 게요 . 클로바앱에서 아무리 찾아보 아도 라디오 관련 부분 은 못 찾 겠 네요 . 클로바음성 이 앱에서 지원 하 는 라디오 채널 을 확인하 세 요 라고 말 하 았 능 데 정작 찾아보 니 없음..ㅇㅅㅇ
14,김동현,3,2019년 3월 10일,1,신나는 노래 재생해줘 하면 대략 20곡? 정도만 선별하는데 더 많이 선곡은 불가능한가요? 그리고 빗소리 시작해줘 라고 하면 몇분 들려주다가 끊기는데 한두시간 연속으로 재생할 수는 없나요? 나머지부분은 만족스럽습니다.,신나는 노래 재생해줘 하면 대략 20곡? 정도만 선별하는데 더 많이 선곡은 불가능한가요? 그리고 빗소리 시작해줘 라고 하면 몇분 들려주다가 끊기는데 한두시간 연속으로 재생할 수는 없나요? 나머지부분은 만족스럽습니다.,신나 는 노래 재생 하 아 주 어 하 면 대략 20 곡 ? 정도 만 선별 하 는데 더 많이 선곡 은 불가능 한가요 ? 그리고 빗소리 시작 하 아 주 어 라고 하 면 몇분 들려주 다가 끊기 는데 한두시간 연속 으로 재생 하 ㄹ 수 는 없 나요 ? 나머지부분 은 만족 스럽 습니다 .
15,남비즈니스,4,2019년 5월 7일,3,Smart Life - Smart Living 이 앱도 연동이 되도록 추가해 주시면 감사하겠습니다.,Smart Life Smart Living 이 앱도 연동이 되도록 추가해 주시면 감사하겠습니다.,Smart Life Smart Living 이 앱도 연동 이 되 도록 추가 하 아 주시 이 면 감사 하 겠 습니다 .
16,Andy Lee,2,2019년 2월 28일,7,"이번에 유인나 목소리로 업뎃후 자주 부르고 있어요 호출명에 ""인나"" 넣어주시면 안될까요? 아니면 직접 원하는 단어 넣어서 사용은 안될까요? 이번에 업데이트 되고나서 계속 접속이 안되서 확인해본 결과 와이파이를 다시 설치 하라고 나오네요 어제도 그랬는데 오늘도 또 그러네요 ㅠㅠ",이번에 유인나 목소리로 업뎃후 자주 부르고 있어요 호출명에 인나 넣어주시면 안될까요? 아니면 직접 원하는 단어 넣어서 사용은 안될까요? 이번에 업데이트 되고나서 계속 접속이 안되서 확인해본 결과 와이파이를 다시 설치 하라고 나오네요 어제도 그랬는데 오늘도 또 그러네요 ㅠㅠ,이번 에 유인 나 목소리 로 업뎃후 자주 부르 고 있 어요 호출명 에 인나 넣 어 주 시 면 안 되 ㄹ까요 ? 아니 이 면 직접 원하 는 단어 넣 어서 사용 은 안 되 ㄹ까요 ? 이번 에 업데이트 되 고 나서 계속 접속 이 안 되 서 확인 하 아 보 ㄴ 결과 와이파이 를 다시 설치 하 라고 나오 네요 어제 도 그렇 었 는데 오늘 도 또 그렇 네요 ㅠㅠ
17,eunbee jo,1,2019년 3월 11일,1,이 어플로 기기에 노래 틀고나서 노래를끄거나 다른노래로바꾸고싶은데 아예 먹통이되는경우가많음 대부분그럼 실제로 기기 호출해서 노래를 꺼서 재생중이 아닌데도 어플화면엔 노래가 재생중이고 다른노래는 선택도안되고 먹통되어서 진짜 개짜증 캡쳐본이 있는데 여기 못올려서 답답.,이 어플로 기기에 노래 틀고나서 노래를끄거나 다른노래로바꾸고싶은데 아예 먹통이되는경우가많음 대부분그럼 실제로 기기 호출해서 노래를 꺼서 재생중이 아닌데도 어플화면엔 노래가 재생중이고 다른노래는 선택도안되고 먹통되어서 진짜 개짜증 캡쳐본이 있는데 여기 못올려서 답답.,이 어플로 기기 에 노래 틀 고 나서 노래 를 끄 거나 다른 노래 로 바꾸 고 싶 은데 아예 먹통 이 되 는 경우 가 많 음 대부분 그렇 ㅁ 실제 로 기기 호출 하 아서 노래 를 끄 어서 재생중 이 아니 ㄴ데 도 어플화면 에 ㄴ 노래 가 재생중 이 고 다른 노래 는 선택도안 되 고 먹통되어서 진짜 개짜증 캡 치 어 보 ㄴ 이 있 는데 여기 못 올리 어서 답답 .
18,youngeun gwak,3,2019년 3월 31일,3,그다지 만족스럽진않아요...설저어이나 연동이 오류가 많이나고요...또 이번엔 켜서 이용하고있는 중인데도 클로바앱에는 자꾸 오프라인상태라고나오는데 왜그렇죠?? 상태재확인 계속 눌러봐도 계속 오프상태...지금 작동중인데요?? 왜때문이죠??,그다지 만족스럽진않아요...설저어이나 연동이 오류가 많이나고요...또 이번엔 켜서 이용하고있는 중인데도 클로바앱에는 자꾸 오프라인상태라고나오는데 왜그렇죠?? 상태재확인 계속 눌러봐도 계속 오프상태...지금 작동중인데요?? 왜때문이죠??,그다지 만족 스럽 진 않 아요 ... 설저어 이나 연동 이 오류 가 많이 나 고요 ... 또 이번 에 ㄴ 켜 어서 이용 하 고 있 는 중 이 ㄴ데 도 클로바앱에는 자꾸 오프라인상태라고나오는데 왜 그렇 죠 ? ? 상태재확 이 ㄴ 계속 누르 어 보 아도 계속 오프상태 ... 지금 작동 중 이 ㄴ데요 ? ? 왜 때문 이 죠 ? ?
19,옥수란,4,2019년 4월 19일,0,가끔 못알아들을 때가 너무 많아요ㅜㅜ 충전이 다 되면 저만 계속 소리가 나나요?? 계속 지혼자 띠링띠링 거려요ㅠㅠㅠ 그리고 충전 100시키고 자도 새벽에 지 혼자 꺼져요 배터리가 왜 이렇게 빨리닳아요? 산지 1년도 안됬는데,가끔 못알아들을 때가 너무 많아요ㅜㅜ 충전이 다 되면 저만 계속 소리가 나나요?? 계속 지혼자 띠링띠링 거려요ㅠㅠㅠ 그리고 충전 100시키고 자도 새벽에 지 혼자 꺼져요 배터리가 왜 이렇게 빨리닳아요? 산지 1년도 안됬는데,가끔 못 알아듣 을 때 가 너무 많아요ㅜㅜ 충전 이 다 되 면 저 만 계속 소리 가 나 나요 ? ? 계속 지혼자 띠링띠링 거려요ㅠㅠㅠ 그리고 충전 100 시키 이 고 자 도 새벽 에 지 혼자 꺼지 어요 배터리 가 왜 이렇 게 빨리 닳 아요 ? 산지 1 년대 안됬는데
20,namoo,2,2019년 3월 28일,0,이번에업데이트됫는데모가좋아진지모르겟음.티비켜줘.꺼죠.날씨어때?미세먼지.음악켜죠.이건잘하는데.전기불키고끄기.공기청정기키고끄기.티비채널바꾸기볼륨조절기능이추가되엇음좋겟네요.글구조금멀어지면클로바가대답을안함요;;;,이번에업데이트됫는데모가좋아진지모르겟음.티비켜줘.꺼죠.날씨어때?미세먼지.음악켜죠.이건잘하는데.전기불키고끄기.공기청정기키고끄기.티비채널바꾸기볼륨조절기능이추가되엇음좋겟네요.글구조금멀어지면클로바가대답을안함요,이번에업데이트됫는데모가좋아진지모르겟음.티비켜줘.꺼죠.날씨어때?미세먼지.음악켜죠.이건잘하는데.전기불키고끄기.공기청정기키고끄기.티비채널바꾸기볼륨조절기능이추가되엇음좋겟네요.글구조금멀어지면클로바가대답을안함요
21,Woo Ji,1,2019년 3월 17일,5,"겉만 이쁜 예쁜 쓰레기 맞아요. 기본적인 블루투스 연결도 한 번에 잘 안되고 계속 연결해놔도 다시 끊어지고요. 그리고 노래 연동 네이버 뮤직이랑도 안되네요? 물건을 한번 만들면 끝인가요. 기본적인 블루투스 스피커도 제대로 못하면서 무슨 대대적인 광고까지 내는 거예요? 인공지능을 거지같이 하면 클로바 앱에서 수동으로 작성하는거라도 제대로 할수있게 해주던가 말로도 안돼, 손가락으로도 안돼 뭐 되는게 뭐예요? 수시로 업뎃을 하지말고 제대로 만들고 업뎃을 해요. 생각과 시도라는걸 좀 여러번 하세요. 아 그리고 배터리 정말 조루네요.",겉만 이쁜 예쁜 쓰레기 맞아요. 기본적인 블루투스 연결도 한 번에 잘 안되고 계속 연결해놔도 다시 끊어지고요. 그리고 노래 연동 네이버 뮤직이랑도 안되네요? 물건을 한번 만들면 끝인가요. 기본적인 블루투스 스피커도 제대로 못하면서 무슨 대대적인 광고까지 내는 거예요? 인공지능을 거지같이 하면 클로바 앱에서 수동으로 작성하는거라도 제대로 할수있게 해주던가 말로도 안돼 손가락으로도 안돼 뭐 되는게 뭐예요? 수시로 업뎃을 하지말고 제대로 만들고 업뎃을 해요. 생각과 시도라는걸 좀 여러번 하세요. 아 그리고 배터리 정말 조루네요.,겉 만 이쁘 ㄴ 예쁘 ㄴ 쓰레기 맞 아요 . 기본 적 이 ㄴ 블루투스 연결 도 한 번 에 잘 안 되 고 계속 연결 하 아 놓 아도 다시 끊어지 고요 . 그리고 노래 연동 네이버 뮤직이랑 도 안 되 네요 ? 물건 을 한번 만들 면 끝 이 ㄴ가요 . 기본 적 이 ㄴ 블루투스 스피커 도 제대로 못하 이 면서 무슨 대대 적 이 ㄴ 광고 까지 내 는 거예요 ? 인공지능 을 거지 같이 하 면 클로바 앱에서 수동 으로 작성 하 는 거 이 라도 제대로 하 ㄹ 수 있 게 해주 덜 ㄴ가 말로 도 안 되 어 손가락 으로 도 안 되 어 뭐 되 는 게 뭐 예요 ? 수시로 업뎃을 하지 말 이 고 제대로 만들 고 업뎃을 하 아요 . 생각 과 시도 이 라는 거 ㄹ 좀 여러번 하 시 어요 . 아 그리고 배터리 정말 조루 네 요 .
22,fillm r,3,2019년 5월 9일,0,그 혹시 네이버 클로바 앱은 검색해서 노래재생 하는 건 안되나요? 그거 정말 불편해요,그 혹시 네이버 클로바 앱은 검색해서 노래재생 하는 건 안되나요? 그거 정말 불편해요,그 혹시 네이버 클로바 앱은 검색 하 아서 노래재생 하 는 건 안 되 나요 ? 그것 정말 불편 하 아요
23,양시용짱,5,2019년 4월 28일,0,좋긴좋은데도라애몽에디션이랑lg스마트씽큐스피커2개로추가로연결할수있나요?,좋긴좋은데도라애몽에디션이랑lg스마트씽큐스피커2개로추가로연결할수있나요?,좋긴좋은데도라애몽에디션이랑lg스마트씽큐스피커2개로추가로연결할수있나요?
24,사과[미라클],4,2019년 5월 6일,0,음악 서비스에 멜론 설치 해주면 안돼요? 멜론으로 듣고 싶은데,음악 서비스에 멜론 설치 해주면 안돼요? 멜론으로 듣고 싶은데,음악 서비스 에 멜론 설치 해주 이 면 안 되 어요 ? 멜론 으로 듣 고 싶 은데
25,최수운,2,2019년 3월 28일,1,"펌웨어 업데이트만 하면 설정을 다시해야하고, 클로바앱에서는 계속 오프라인 뜨고, 그 바람에 유플TV도 연결 안되고, 뭔가 항상 삐그덕 거리는데 어떻게 해결 안되나요?",펌웨어 업데이트만 하면 설정을 다시해야하고 클로바앱에서는 계속 오프라인 뜨고 그 바람에 유플TV도 연결 안되고 뭔가 항상 삐그덕 거리는데 어떻게 해결 안되나요?,펌웨어 업데이트 만 하 면 설정 을 다시 하 아야 하 고 클로바앱에서는 계속 오프라인 뜨 고 그 바람 에 유플TV 도 연결 안 되 고 뭐 ㄴ가 항상 삐 그 덕 거리 는데 어떻 게 해결 안 되 나요 ?
26,ッ쳬린,5,2019년 3월 31일,0,클로바가 .. 말을 너무 못알아들어요 .. ㅠㅠ 열심히 말해도 .. 자꾸 다른 노래를 틀어버립니다 ..,클로바가 .. 말을 너무 못알아들어요 .. ㅠㅠ 열심히 말해도 .. 자꾸 다른 노래를 틀어버립니다 ..,클로바 가 .. 말 을 너무 못 알아듣 어요 .. ㅠㅠ 열심히 말 하 아도 .. 자꾸 다른 노래 를 틀 어 버리 ㅂ니다 ..
27,You Tube Korea,3,2019년 4월 19일,0,다른건 좋지만 클로바를 그냥 바탕화면에서도 부르고 실행할수 있게 해주세요,다른건 좋지만 클로바를 그냥 바탕화면에서도 부르고 실행할수 있게 해주세요,다른 건 좋 지만 클로바 를 그냥 바탕 화면 에서 도 부르 고 실행 하 ㄹ 수 있 게 해 주세 요
