,index,nugu,score
85,86,애들이 참 좋아하네요 똑똑해요!,5
86,87,배송 빠르고 상품 마음에 들어요,5
87,88,배송도 빠르고 이쁘고 좋습니다.,5
88,89,브라운이 왔어요 ㅋㅋ 귀여워요,5
89,90,좋아요 잘 작동 되요 유용해요,5
90,91,선물용으로 자주 구입합니다.,4
91,92,카카오미니보다 좋네요...ㅎ,5
92,93,디자인도 맘에들고 좋아요,5
93,94,좋아용ㅎㅎ선물용이요,5
94,95,좋아요 사길잘햇어요,5
95,96,너무 귀엽고 좋아요,5
96,97,귀엽고 잘되네요 너무 좋아요 나중에는 iot도 도전 해야겠네요,5
97,98,브라운은 거실에서 사용 중이예요. 멀리서 부르면 2번에 한번은 실패하지만 손을 쓸 수 없을 때 딱 좋네요,3
98,99,배송이 미친듯이빨라요.. 아주 소름돋았습니다. 그리고 넘모 예뻐요 랜덤이라는 것이 살짝 그렇긴하지만 그래도 뭐 둘다 귀여우니까 괜찮습니다.,5
99,100,셀리 말고 브라운 큰거로 샀었는데 고장나서 재구매 한거거든요 생각보다 출력이 괜찮아서 놀랬어요 그런데 단점은 충전을 해놓으면 가끔씩 소리가 나요 띠리링 하고 이것만 개선 되면 정말 좋은 제품 같습니다.,5
100,101,조카들 쓰라고 선물 해줬어요흥미를 느끼면서 잘 사용하고 있는것 같아요,5
101,102,잘 쓰고 있어요 그런데 충전 해도 오래 가질 않네요..그래도 만족입니다,5
102,103,와이파이 안쓰는집에서는 음알이끈기고 안좋네요 후회해요,3
103,104,작은크기에 비해 음질도 나쁘지않고아주 유용합니다,5
104,105,마음에 들어요!~~ 다만 고를 수 없는게 좀 아쉽네요,4
105,106,침대에 두고 쓰는데 자장가도 들려주고 딱이네요.,3
106,107,배송도 빠르고 포장도 꼼꼼하게 잘 받았습니다.,5
107,108,혹시나해서 샀는데 정말 괜찮아요.사람같아여,5
108,109,똑똑하네요 ㅎㅎ아이들이 너무 좋아해요,5
109,110,배송 엄청 빠릅니다. 키큰 클로바 쓰다가 미니로 바꿨는데 작아서 휴대하기두 좋고 귀여워요. 키큰 클로바보다 미니가 더 나은 것같아요.,5
110,111,빠른 배송 저렴한 가격 좋습니다,4
111,112,브라운 왔어요~ 소리 좋아요,5
112,113,음성인식도 잘되고 좋아요,5
113,114,아이들이 좋아합니다,4
114,115,생각보다 귀여웠어요,3
115,116,좋아요 너무 잘 되요,5
116,117,배송빠르고 좋네요.,3
117,118,아이가 좋아 합니다,5
118,119,원하던 브라운으로 와서 더 좋고 너무너무 귀여워요!!,5
119,120,좋아요 브라운 받고싶었는데 라운이였어요 ㅎㅎ,5
120,121,너무 편하고 음질이 안좋을줄 알았는데 너무 좋아요,5
121,122,스피커 사운드가 좋네요 우리 아이가 좋아하네요,5
122,123,배송도 빠르고 잘 도착했어요. 어린이날 선물로 조카 사줬는데 너무 좋아한다고하네요. 음악 어플하고 연동시켜서 좋아하는 노래 실컷 들으라고했어요. 잘 사용하기를...,4
123,124,선물예정이라 아직 사용은 못해봤어요. 배송이 엄청 빠르네요,5
124,125,음성인식도 잘되고 스피커음질도 비교적 괜찮아요 배터리가 좀 빨리 닳는것 빼고는 좋습니다,4
125,126,너무좋네요 너무좋아요,5
126,127,아이들이 갖고싶던 클로버 이쁜가격으로 구매할수있어서 감사합니다~,5
127,128,어버니날 설물로 딱인거같아요! 부모님이 무척 만족해하십니다.,5
128,129,작아서 귀엽네요ㅎㅎ그런데 애들 발음은 잘 못 알아들어요,5
129,130,배송빠루고 맘에들어요 샐리였으면좋앗을듯 ㅠ,5
130,131,구매불가 상품 주셔서 감사합니다,5
131,132,점점더 똑똑해지는 클로버입니다.,4
132,133,조카 어린이날 선물러 사줬네요,5
133,134,애들이 좋아하네요 많이 파세요,4
134,135,배송도 빠르고 물건도좋아요,5
135,136,제조일자가 좀 지난거네요,3
136,137,딱조아요착용감굳굳호이,5
137,138,귀엽고 사용하기 좋아요,4
138,139,직원들 선물용으로 대량구매했는데배송 엄청 빠르네요!감사합니다.,5
139,140,배송도빠르고 넘좋아요,5
140,141,저렴하게 구매했습니다,5
141,142,빠르고 상품문제없네요,5
142,143,조카가 너무 좋아해요,5
143,144,아주 만족스럽습니다,5
144,145,배송이 마우 빨라요,5
145,146,매일 아침마다 클로바가 뉴스 읽어줘요 자기전에 자장가도 틀어주고 알람도 울려주고 노래도 틀어주고 메모도 기억해주고 넘 편리해여,5
146,147,부자 되세요~~^♡^,4
147,148,배송 빠르고 작고 귀여운게 정말 마음에 듭니다 ㅎㅎ,4
148,149,와우완벽펄팩트하아아이이이,5
149,150,"톡으로 상담후 배송요청란에 기재후 주문했는데, 깡그리무시. 배송당일날 전화로 반품해준다고서, 다음날 또 불가하다고 문자옴.상담은 왜하고, 배송요청란에 적으라는얘긴왜했는지.",1
150,151,선물로 줬는데 정말로 너무너무 좋아해서 저도 너무 좋네요,5
151,152,좋아요~아이들이 넘 좋아하네요~잘알아등고 노래 음향도 좋고 궁금한 것도 질무하면 잘 알려주니아주 활용도 가 높네요~,5
152,153,블루투스도 좋고 음질도 좋네요,4
153,154,좋아요 잘 쓸게요 저렴해요,5
154,155,아이들이 너무 좋아합니다,5
155,156,연결고 잘 되고 좋아요!,5
156,157,친구 집들이 선물로 선물했는데 너무 마음에 들어하네요 ㅎㅎ,5
157,158,배송이/빠르고//매우 귀엽다 ㅎ 도내랭크 1위랄까..,5
158,159,역시 기대한것만큼 실망시키지않네요~~ 귀엽고 생각보다 음질도 좋아요,5
159,160,이거 엘지유플러스에 등록하려고하는데 자급제라고 등록이안된다고합니다. 이거정품이 아닌건가요? 등록을 해야지만 as수리가 가능하다는데 그럼 수리도 못받는 제품인가요?,1
160,161,아이가 잘 사용하고있어요 근데 밧데리가 너무 빨리 다네요,4
161,162,지니랑 같을줄알았는데 티비랑은 호환이 안되나봐요ㅜㅜ,4
162,163,너무 귀엽고 좋아요ㅎㅎㅎ,5
163,164,조아요 클로바 조아요 클로바 조아요,5
164,165,진짜 너무 젛아여 꼭 사세요 심심하지 않습니다,5
165,166,밧데리 빨리 닳는거말곤 다 좋아용,5
166,167,배송빠르고 정말멋있어요,5
167,168,제품에 만족합니다~~~~~~~,5
168,169,정말 좋은거같아요감사,5
169,170,음성인식이 잘되네요,3
170,171,잘쓰고있어요 좋네요,4
171,172,엄마가 좋아하시네요,5
172,173,배송이 빨랐습니다. 잘쓰고 있습니다.,5
173,174,가성비 최고가 구입써보니 휴대성 좋고요.아이가 엄청 좋아하고요.아내도 클로바 DJ통해서 좋은 음악들으며 좋아해요.집안이 행복해져서 5점 만점입니다.,5
174,175,배송 중 분실했다느니 지연됐다느니 말도 많고 탈도 많았네요,2
175,176,강력한편의성으로 음성인식도잘되네요음질은 좀 그닥이라 큰걸로 살걸하는 아쉬움이있어요,4
176,177,처음왔던 상품이 전원불량이었는데 바로 회수조치해주시고 빨리 교환해주셨네요. 말도 잘 알아듣고 좋습니다.,5
177,178,인식율 및 정확도가 매우 좋으네요.아침마다 알려주는 날씨와 뉴스 아주 좋아요. ^^,5
178,179,좋아요 작지만 스피커 성능도 만족하구요 ..아파트라서 잘 활용 하고 있어요ㅕ,5
179,180,AI 스피커 처음 써보는데 신세계네요근데 배터리가 너무 금방 닳아요,4
180,181,빨라요~ 잘왔어요 빨라요,5
181,182,재미있고 편리하네요. 아이들이 좋아해요,5
182,183,선물용으로 매번 구입하고있습니다.,4
183,184,그 참 신기하네요... 재미도 있고...,4
184,185,배송이 빠르고 연결되서 좋네요,4
185,186,빠른배송 좋아요 작동잘하네요,5
186,187,빠른 배송 감사합니다. 참 빠르네요,5
187,188,최고입니다 너무 필요했어요,5
188,189,귀엽고 음질도 괜찮아요,5
189,190,써버고 한달리뷰 할께요,5
190,191,잘 작동하고 예뻐요^0^,5
191,192,연결도잘되고좋아요~,4
192,193,만족합니다 .,5
193,194,일단 너무 귀여워요ㅋㅋㅋ 라디오 기능이 미탑재된 건 아쉽네요. 근데 너무 예뻐서 장식용만으로도 쓰고 싶어요ㅎㅎ,4
194,195,미니라너무귀엽네요~아이들이너무좋아해요. 배송도맘에들고~감사합니다~잘쓸께요~^^,5
195,196,너무 귀엽고 음성인식도 잘 되어서 아이가 정말 좋아하네요. 잘 때 자장가도 들려주고 알람도 해 주고 여러 모로 편리합니다.,5
196,197,아이친구가생기고 음악도 빨리찾아서 들려주고 동화도읽어주어 너무좋아요,4
197,198,아이가매우좋아해요 컨텐츠다양하지않은점 좀 아쉽네용,4
198,199,애들이 너무너무 좋아해요,5
199,200,배송빠르고 말도 잘듣고 너무 좋아요!!!사길 잘했어요,5
200,201,아주 좋습니다 말도 잘 듣고 반응도 빨라요,5
201,202,어머니가 어렵지 않게 잘 쓰고 있습니다~,5
202,203,귀엽습니당 크기가 작아서 더 귀여워요,5
203,204,아주유용하게 잘쓰고있어요 돟아여,3
204,205,성능좋고 음성인식 좋습니다~^^,4
205,206,그렇게 막 좋지는 않습니다,3
206,207,하자없이 빠른배송입니다.,5
207,208,디자인이 너무귀여워요,5
208,209,아이 방에 두니 너무 좋습니다 어린이 컨텐츠가 많아서 너무 유용하네요,5
209,210,빠른 배송 감솨합니다.,5
210,211,좋은제품 감사합니다.,5
211,212,심심할 때 좋으네요.,5
212,213,예쁘네요 지금 쓸수는 업지만 좋네요,5
213,214,예비처남에게 선물로 사줬어요유인나랑 대화하라고ㅋㅋ마음에 들어하는 것 같습니다,5
214,215,궁금증이 바로해결되고 아이들 동요듣기 잘때자장가 활용넘좋아요,5
215,216,배송하루만에 왔고제품도 작고 앙증맞고 음성인식도 잘되네요,5
216,217,배송진짜빨라요굳굳굳,5
217,218,편하고 좋아요!! 삶에 질이 한단계 업그레이드된 기분이예요~,4
218,219,배송이 생각보다 빨리왔습니다~ 제품도 마음에 들어요~,5
219,220,수요일 예약배송이었는데 늦지 않고 도착했어요~ 배송상태도 매우 양호하고 여자친구도 너무 좋아하네요! 감사합니다~,5
220,221,역시 인공지능 스피커로는 좋은것 같아용^^,5
221,222,말도 잘 알아듣고이제 tv도 말로 켜요~ㅎㅎ,5
222,223,배송 빠르고 성능도 좋아요 귀엽습니다,5
223,224,작고 너무 귀엽고 성능도 좋아요ㅠ,5
224,225,반응도 잘하고 심심하지 않아요~~^^,5
225,226,아직ㅎ완벽하진 않지만 꽤 좋아요!,4
226,227,만족합니다.음성인식도 잘되고요,5
227,228,인식도 잘되고 너무 좋아요!,5
228,229,고장 아직 없고 무난하네요~,4
229,230,귀엽고 음악듣기 편해요.,3
230,231,선물했는데 아주 좋아요,4
231,232,생각보다 더 귀엽네요,5
232,233,좋이요좋아좋아요좋아,5
233,234,인식력도 좋아하고 무엇보다 아이가 엄청 좋아합니다~,5
234,235,클로바 미니는 기존 모델보다 더 작아서 한층더 귀엽고 좋은거같아요. 선물용으로 샀는데 집들이 선물로 좋은거같아요👍,5
235,236,잘되고 좋아요 아이들이 좋아하네요,5
236,237,5살아이목소리는잘인식이안되지만좋아요,4
237,238,선물로 좋음 벌써 두개째 선물이내요,5
238,239,배송 빨랐고~ 샐리도 짱 귀여브요ㅋㅋ,5
239,240,컴맹이랑고생은했지만 잘쓰고 있어요 굳이 엘지랑연동해서 안써도 쓰는게 한정되어있어서 단품으로 요것만쓰고 네이버결제하는게 더낫네요,3
240,241,선물로 줬는ㄷ 음질도 나쁘지 않고 음성인식도 잘된대요 귀엽기두하고!! ㅎㅎ,4
241,242,아이들이 너무 잘 가지고 노네요아이들 장난감으로 짱!!,5
242,243,마음에들음 ㅎ ㅎ ㅎ ㅎ,5
243,244,이미 클로바를 오랫동안 사용중이라 두말할 필요없이 좋다고 생각합니다,5
244,245,배송 무지 빠릅니다그리고 아이꺼 동화 들려주기 요 기능 너무 좋아용~,4
245,246,하루만에 배송와서 좋았어요! 선물했는데 엄청 좋아했습니당,5
246,247,작동이 편합니다 인식과 반응이 좀더 보완되어야할것같네요,4
247,248,나름 말귀도 잘 알아먹고 좋아요!! 진짜 편하구 추천합니다!!,5
248,249,친구 생일선물인데 너무 좋다네요 디자인도 이쁘구여^^,5
249,250,제조일자가 너무 오래됐습니다밀린 업데이트도 많내요,3
250,251,넘좋아여 엄마 드릴려고 샀어요 히히 샐리 넘기여움,5
251,252,정말 유용한데 게임이안되서 그게살짝실망이요,4
252,253,나름 뉴스 ㆍ 노래 등 말 잘듣네요 재밌어요,5
253,254,넘 귀엽고 좋아야 말도 잘 듣고 ㅎㅎ,5
254,255,친구가 쓰는거보구 따라 구매햇어요,5
255,256,동생졸업선물로 줬는데 좋아합니다,5
256,257,빠른배송과 물건이 좋습니다.,5
257,258,귀엽고 생활이 편리해졌어요~,5
258,259,배송도 빠르고 정말 좋아요,5
259,260,물건은괜찮네요~~~,5
260,261,dfsgagsfsadgsd,5
261,262,"판매에는 문제가없지만 클로바 자체가 문제가 많내요.언어전달도 잘안되고 사용언어 인식도 너무 수준이 낮아요,10살딸이 쓴다고 용돈모아샀는데 돈만원 짜리면 ..그것도 아까운 제품이내요",1
262,263,배송 정말 빠르네요,5
263,264,어르신들이 쓰기에 너무 좋은거 같아요 ㅎ 강추,5
264,265,넘 귀엽고ᆢ소리도 잘 나오고 좋아요,5
265,266,더 사용해 봐야 하지만 재미 있어요,5
266,267,아이들이 너무 좋아합니다. 쓸모가 많아요. 인식도 잘 하고 알아서 연구해서 잘 사용합니다 ^^편리해요,5
267,268,살짝!!음성인식이늦어요,2
268,269,딸아이가 참 좋아해요~^^,5
269,270,좋아요아침마다 음악듣고뉴스 청취하는데 아주 유용해요아이들도 아주 좋아해요세상 참 좋아졌네요,5
270,271,딸아이가 너무너무너무좋아해요,5
271,272,Q빨라요~~ 아주 좋습니다.,5
272,273,물건 잘 받았습니다 감사합니다,5
273,274,배송만족합니다..성능은 신기하긴하는데 아직은 부족한게 많네요...,4
274,275,감사합니다 유용하게너무너무잘쓰고있어요ㅎㅎ,5
275,276,사이즈 앙증맞고 귀여워요배송 엄청 빨라요.음악감상 비용을 따로 지불해야 되니까 그게 좀 부담이네요장비만 있으면 해결되는줄 착각했네요 ㅋㅋㅋ장비 자체는 귀엽고 깜찍하고 좋아요.,5
276,277,스피커도 좋고 다양한 기능들이 있어서 좋아요,5
277,278,아주 좋아요 ❤️❤️완전 강추 👍🏻👍🏻👍🏻👍🏻연결도 잘되고 굳.,5
278,279,조카에게 선물하려고 구매했는데너무 좋다고 연락이 왔네요배송도 빠르고 가격도 다른곳보다 조금 착해서 구매했어요완전 강추입니다... 이곳에서 믿고 구매하세용,5
279,280,친구 선물로 줬는데 너무 좋아하네요:)저도 하나 사야겠어요!,5
280,281,배송이빨라서좋았어요,4
281,282,완전 귀여워요! 샐리 사고싶었는데 브라운 잘못 선택하긴 했지만 브라운듀 귀엽네요 ㅎㅎ,5
282,283,가격도 싸고 너무 좋아오!♥♥ 진짜 자취하시는 분들께 너무 추천 드려요 ㅠㅠ 아침 브리핑 맞추젼 그날 미세먼지 날씨 뉴스까지 되고 심심할때마다 친구들끼리 샐리한테 말하면서 놀아요 ㅋㅋ,5
283,284,"배송이 빠르고, 너무 귀야우ㅏ오 ㅠㅠㅠ",5
284,285,ai스피커는 처음 사용해봤는데.....편하고 좋았어요....음악재생어플과 연동하면 더 나은 서비스를 즐길수 있어요생각보다 배터리사용시간이 짧아서 자주 충전을 해줘야 해요,4
285,286,아기가 너무나 좋아해요단어 번역이랑 게임이 더 있었음 좋았늘텐데 그건좀 아쉽네요,5
286,287,클로바가 있어서 너무 너무 편해요^^,5
287,288,귀여운 디자인과 네이버뮤직 연동의 기능이 맘에 듭니다.,3
288,289,편하게 음악도 듣고 여러모로 좋아요 추천!!!,5
289,290,빠른배송감사해요.아이가좋아하네요,5
290,291,친구 생일 선물로 보냈는데 좋아해요~배송 빨라서 마음에 들어요!!혼자사는 친구라 인공지능스피커 있음 유용할 것같아서 보냈는데잘 쓰고 있더라고요 ㅋㅋ 뿌듯생각보다 다양한 기능이 있는 것같아 만족합니당^^,5
291,292,선물 받은 분이 좋으해요,5
292,293,좋습니다아주 좋습니다좋습니다,5
293,294,넘나 귀여워요 나오는노래에 6살딸아이 삼십분동안 춤춘거같아요^^ 크리스마스 선물로 최고였네요,4
294,295,"배송도 빨리왔고, 잘받았습니다. 성능도 좋네요~!!",5
295,296,배송도 무지빠르고 인공지능 입문용으로 최고!!,4
296,297,음질이 최악이네여 반품 귀찮 다시 사야할듯,2
297,298,샐리구매했어요~배송빠르고 상품문제없네요,5
298,299,말한마디에 반응하는 귀여운 스피커,5
299,300,아이가 아주 재미있어 하네요,5
