,document_index,sentence_index,sentence,label,preprocessed_sentence,pos_sentence
18,663,0,얼리어답터는 아니지만 자그마한 기계는 다 써보고 싶어하는 제게거부할 수 없는 대세 인공지능 스피커출시된 지는 좀 되었지만보통 인터넷 회선과 결합해서 판매하는 누구 지니등엔 관심이 없었는데년 이상을 네이버뮤직만 사용하는 제게 보인 광고 정기결제 하고 있다면 단돈 만원 전 년 전에 샀던 UE BOOM을 잘 쓰고 있었는데블루투스스피커도 요즘 만원 돈은 주고 사잖아요..그런데 저렇게 귀여운 브라운 캐릭터 스피커라니게다가 똑똑하게 말도 알아듣는다니...!바로 질러버렷!해서 제 품에 안긴 클로바개봉기와 자세한 스펙은 다른 분들이 더 자세히 올리셨을 테니저는 주관적인 사용 느낌만 써 보렵니다.. 귀여운가?네 엄청 귀엽습니다.,1,얼리어답터는 아니지만 자그마한 기계는 다 써보고 싶어하는 제게거부할 수 없는 대세 인공지능 스피커출시된 지는 좀 되었지만보통 인터넷 회선과 결합해서 판매하는 누구 지니등엔 관심이 없었는데년 이상을 네이버뮤직만 사용하는 제게 보인 광고 정기결제 하고 있다면 단돈 만원 전 년 전에 샀던 UE BOOM을 잘 쓰고 있었는데블루투스스피커도 요즘 만원 돈은 주고 사잖아요..그런데 저렇게 귀여운 브라운 캐릭터 스피커라니게다가 똑똑하게 말도 알아듣는다니...!바로 질러버렷!해서 제 품에 안긴 클로바개봉기와 자세한 스펙은 다른 분들이 더 자세히 올리셨을 테니저는 주관적인 사용 느낌만 써 보렵니다.. 귀여운가?네 엄청 귀엽습니다.,얼리 어 답 터 는 아니 지만 자그마 하 ㄴ 기계 는 다 쓰 어 보 고 싶 어 하 는 제 게 거부 하 ㄹ 수 없 는 대세 인공지능 스피커 출시 되 ㄴ 지 는 좀 되 었 지 말 ㄴ 보통 인터넷 회선 과 결합 하 아서 판매 하 는 누구 지니 등에 ㄴ 관심 이 없 었 는데 년 이상 을 네이버 뮤직 만 사용 하 는 제 게 보이 ㄴ 광고 정기 결제 하 고 있 다면 단돈 만원 전 년 전 에 사 았 던 UE BOOM 을 잘 쓰 고 있 었 는 데 블루투스 스피커 도 요즘 만원 돈 은 주 고 사 잖아요 .. 그런데 저렇 게 귀엽 ㄴ 브라운 캐릭터 스피커 이 라니 게다가 똑똑 하 게 말 도 알아듣 는다니 ... ! 바로 지르 어 버리 엇 ! 해서 제 품 에 안기 ㄴ 클로바 개봉 기와 자세 하 ㄴ 스펙 은 다른 분 들 이 더 자세히 올리 시 었 을 테 이 니 저 는 주관 적 이 ㄴ 사용 느낌 만 쓰 어 보 렵니다 . . 귀엽 ㄴ가 ? 네 엄청 귀엽 습니다 .
19,2659,13,이 부분에 대한 이해를 위해서는 차 산업혁명 시대의 대표적인 키워드 중 하나라고 할 수 있는 머신러닝 Machine Learning과 빅데이터 Big Data에 대해 알아야 할 필요가 있습니다.,0,이 부분에 대한 이해를 위해서는 차 산업혁명 시대의 대표적인 키워드 중 하나라고 할 수 있는 머신러닝 Machine Learning과 빅데이터 Big Data에 대해 알아야 할 필요가 있습니다.,이 부분 에 대하 ㄴ 이해 를 위하 아서 는 차 산업 혁명 시대 의 대표 적 이 ㄴ 키워드 중 하나 라고 하 ㄹ 수 있 는 머신 러닝 Machine Learning 과 빅 데이터 Big Data 에 대하 아 알 아야 하 ㄹ 필요 가 있 습니다 .
20,1685,21,ㅋㅋ그것도 개나!!,0,ㅋㅋ그것도 개나!!,ㅋㅋ그것도 개 나 !!
21,1898,4,정식 명칭은 프렌즈 미니 도라에몽 에디션입니다.,0,정식 명칭은 프렌즈 미니 도라에몽 에디션입니다.,정식 명칭 은 프렌즈 미니 도라에몽 에디션 이 ㅂ니다 .
22,496,560,사람들이 대부분 맞다고 생각하는 것들에 의문을 던져야하는 이유도 바로 이 지점이죠.,0,사람들이 대부분 맞다고 생각하는 것들에 의문을 던져야하는 이유도 바로 이 지점이죠.,사람 들 이 대부분 맞 다고 생각 하 는 것 들 에 의문 을 던지 어야 하 는 이유 도 바로 이 지점 이 죠 .
23,2970,2,AI기기 다품종 다플랫폼 시대 열려.,0,AI기기 다품종 다플랫폼 시대 열려.,AI 기기 다품종 다 플랫폼 시대 열리 어 .
24,2871,9,매일 하루 한편 나엘이와 즐겁게 콘텐츠를 시청하고 모든 일과를 마친 저녁엔 전 혼영을 즐기기도 한답니다 하하 시간내어 영화관을 가지 않아도 남편과 집에서 오붓하게 영화관의 생생함을 느낄 수 있어서 종종 집 영화 데이트도 하고 있답니다 ^^ 다가오는 월 일 첫 방영 되는 넷플릭스 킹덤도 굉장히 기대중이에요 !!!!,1,매일 하루 한편 나엘이와 즐겁게 콘텐츠를 시청하고 모든 일과를 마친 저녁엔 전 혼영을 즐기기도 한답니다 하하 시간내어 영화관을 가지 않아도 남편과 집에서 오붓하게 영화관의 생생함을 느낄 수 있어서 종종 집 영화 데이트도 하고 있답니다 ^^ 다가오는 월 일 첫 방영 되는 넷플릭스 킹덤도 굉장히 기대중이에요 !!!!,매일 하루 한편 나 엘 이 와 즐겁 게 콘텐츠 를 시청 하 고 모든 일과 를 마치 ㄴ 저녁 에 ㄴ 전 혼영 을 즐기 기 도 하 ㄴ답니다 하하 시간 내 어 영화관 을 가지 않 아도 남편 과 집 에서 오붓 하 게 영화관 의 생생 하 ㅁ 을 느끼 ㄹ 수 있 어서 종종 집 영화 데이트 도 하 고 있 답니다 ^ ^ 다가오 는 월 일 첫 방영 되 는 넷플릭스 킹덤 도 굉장히 기대 중 이 에요 !! !!
25,2630,9,최근에는 조세호씨도 광고모델로 발탁되었다고 들었던 거 같은데 왜 본 적이 없을까요 ?_?,0,최근에는 조세호씨도 광고모델로 발탁되었다고 들었던 거 같은데 왜 본 적이 없을까요 ?_?,최근 에 는 조세호 씨 도 광고 모델 로 발탁 되 었 다고 들 었 던 거 같 은데 왜 보 ㄴ 적 이 없 을까요 ? _ ?
26,1270,0,로긴은 매일... 아니 하루에도 몇번씩하면서 포스팅은 왜이리 업뎃이 안되는고...?,-1,로긴은 매일... 아니 하루에도 몇번씩하면서 포스팅은 왜이리 업뎃이 안되는고...?,로기 ㄴ 은 매일 ... 아니 하루 에 도 몇 번 씩 하 면서 포스팅 은 왜 이리 업뎃이 안 되 는고 ... ?
27,3309,2,맨 처음 숙소를 고민할 때는 가까운 근교 펜션을 알아봤지만 비슷한 가격 박 만원대 후반 만원으로 호텔의 서비스와 품격을 느끼고 싶어서 비스타 워커힐로 예약!,0,맨 처음 숙소를 고민할 때는 가까운 근교 펜션을 알아봤지만 비슷한 가격 박 만원대 후반 만원으로 호텔의 서비스와 품격을 느끼고 싶어서 비스타 워커힐로 예약!,맨 처음 숙소 를 고민 하 ㄹ 때 는 가깝 ㄴ 근교 펜 션 을 알아보 았 지만 비슷 하 ㄴ 가격 박 만원 대 후반 만원 으로 호텔 의 서비스 와 품격 을 느끼 고 싶 어서 비스타 워커힐 로 예약 !
28,929,5,.,0,.,.
29,750,2,유플러스 홈IOT로 사용중인 세가지 품목입니다.기존 사용중인 플러그외에 이번에 홈IOT 패키지를 신청하면서 두가지 품목을 더 선택했어요멀티탭과 스위치입니다.멀티탭은 USB단자가 두개나 있어서 총 개를 사용할수있네요스위치는 형태에 따라 단단을 선택하실 수 있구요 현관문 열림알리미가 좀 끌리긴 했는데 일단 개월이내에는 재선택이 가능하다고 해서좀 사용해보려고 합니다.아직 채 일도 안 써봐서 아직은 그냥 신기방기한걸로만 프렌즈랑 노는 중이구요좀더 실생활에 유용하게 쓰려면 좀 더 노하우를 터득해야할것같네요 아이 영어 동화 실행 몇번 해봤는데 제대로 못찾아서인지 풀버전으로 읽어주는것은 아직 못들었네요.클로바..일단은 반갑데이 ^^,1,유플러스 홈IOT로 사용중인 세가지 품목입니다.기존 사용중인 플러그외에 이번에 홈IOT 패키지를 신청하면서 두가지 품목을 더 선택했어요멀티탭과 스위치입니다.멀티탭은 USB단자가 두개나 있어서 총 개를 사용할수있네요스위치는 형태에 따라 단단을 선택하실 수 있구요 현관문 열림알리미가 좀 끌리긴 했는데 일단 개월이내에는 재선택이 가능하다고 해서좀 사용해보려고 합니다.아직 채 일도 안 써봐서 아직은 그냥 신기방기한걸로만 프렌즈랑 노는 중이구요좀더 실생활에 유용하게 쓰려면 좀 더 노하우를 터득해야할것같네요 아이 영어 동화 실행 몇번 해봤는데 제대로 못찾아서인지 풀버전으로 읽어주는것은 아직 못들었네요.클로바..일단은 반갑데이 ^^,유 플러스 홈 IOT 로 사용 중인 세 가지 품목 이 ㅂ니다 . 기존 사용 중인 플러그 외 에 이번 에 홈 IOT 패키지 를 신청 하 면서 두 가지 품목 을 더 선택 하 았 어 요 멀티탭 과 스위치 이 ㅂ니다 . 멀티탭 은 USB 단자 가 두 개 나 있 어서 총 개 를 사용 하 ㄹ 수 있 네요 스위치 는 형태 에 따르 아 단단 을 선택 하 시 ㄹ 수 있 구요 현관문 열 림 알리 미 가 좀 끌리 기 ㄴ 하 았 는데 일단 개월 이내 에 는 재 선택 이 가능 하 다고 하 아서 좀 사용 하 아 보 려고 하 ㅂ니다 . 아직 채 일 도 안 쓰 어 보 아서 아직 은 그냥 신기 방기 한 것 로 만 프렌즈 랑 놓 는 중 이 구요 좀 더 실생활 에 유용 하 게 쓰 려면 좀 더 노하우 를 터득 하 아야 하 ㄹ 것 같 네요 아이 영어 동화 실행 몇 번 해보 았 는데 제대로 못 찾 아서 이 ㄴ지 풀 버전 으로 읽 어 주 는 것 은 아직 못 들 었 네요 . 클로바 .. 일단 은 반 갑 데이 ^ ^
30,859,24,귀엽고 똑똑한 Clova!,1,귀엽고 똑똑한 Clova!,귀엽 고 똑똑 하 ㄴ Clova !
31,2166,21,자녀가 몰래 컴퓨터 켰는지도 알 수 있겠네요..!,1,자녀가 몰래 컴퓨터 켰는지도 알 수 있겠네요..!,자녀 가 몰래 컴퓨터 켜 었 는지 도 알 ㄹ 수 있 겠 네요 . . !
32,680,3,순백의 케이스에 아기자기한 브라운의 일러스트가 박혀 있네요.제품 박스의 앞뒤를 제품의 외관을 앞뒷면으로 볼 수 있게 구성되어있구요.,1,순백의 케이스에 아기자기한 브라운의 일러스트가 박혀 있네요.제품 박스의 앞뒤를 제품의 외관을 앞뒷면으로 볼 수 있게 구성되어있구요.,순백 의 케이스 에 아기자기 하 ㄴ 브라운 의 일러스트 가 박히 어 있 네요 . 제품 박스 의 앞뒤 를 제품 의 외관 을 앞 뒷면 으로 보 ㄹ 수 있 게 구성 되 어 있 구요 .
33,2221,27,그리고 명부터는 요금제 상관없이 인터넷 요금 할인 원 할인을 공통으로 받을 수 있다는 것이 특징입니다.,0,그리고 명부터는 요금제 상관없이 인터넷 요금 할인 원 할인을 공통으로 받을 수 있다는 것이 특징입니다.,그리고 명 부터 는 요금 제 상관없이 인터넷 요금 할인 원 할인 을 공통 으로 받 을 수 있 다는 것 이 특징 이 ㅂ니다 .
34,1304,0,카카오미니를 알게된건 출시되기 전이었다.그때 당시엔 내가 음악어플도 지니여서 멜론과 연동중인 카카오미니였기에 그리고 가격대도 그닥 메리트가 느껴지진 않았었던 것 같다.그렇게 잊혀졌다가 유투브에서 접하게 된 카카오미니 구동영상.,-1,카카오미니를 알게된건 출시되기 전이었다.그때 당시엔 내가 음악어플도 지니여서 멜론과 연동중인 카카오미니였기에 그리고 가격대도 그닥 메리트가 느껴지진 않았었던 것 같다.그렇게 잊혀졌다가 유투브에서 접하게 된 카카오미니 구동영상.,카카오 미니 를 알 게 되 ㄴ 건 출시 되 기 전 이 었 다 . 그때 당시 에 ㄴ 내 가 음악 어 프 ㄹ 도 지니 아서 멜론 과 연동 중인 카카오 미니 이 었 기 에 그리고 가격 대도 그 다고 학 메리트 가 느끼 어 지 지 ㄴ 않 았었 던 것 같다.그렇게 잊히 어 지 었 다가 유투브에서 접하 게 되 ㄴ 카카오 미니 구 동영상 .
35,496,463,뉴스가 언제나 진실만을 말하지않는다는 명제는 꽤나 오래된 이야기입니다.,-1,뉴스가 언제나 진실만을 말하지않는다는 명제는 꽤나 오래된 이야기입니다.,뉴스 가 언제나 진실 만 은 말 하 지 않 는다는 명제 는 꽤 나 오래되 ㄴ 이야기 이 ㅂ니다 .
36,2914,0,인공지능 스피커 프렌즈 리뷰후기 안녕하세요 오늘은 제품 리뷰로 찾아온 림쥬 입니다XD 남들 다 하는 시기를 지나 뒤늦게 저에게 찾아온 인공지능 스피커.,0,인공지능 스피커 프렌즈 리뷰후기 안녕하세요 오늘은 제품 리뷰로 찾아온 림쥬 입니다XD 남들 다 하는 시기를 지나 뒤늦게 저에게 찾아온 인공지능 스피커.,인공지능 스피커 프렌즈 리뷰 후기 안녕하세요 오늘 은 제품 리뷰 로 찾아오 ㄴ 림 쥬 입 니다 XD 남 들 다 하 는 시기 를 지나 아 뒤늦 게 저 에게 찾아오 ㄴ 인공지능 스피커 .
37,2723,7,하지만 원래 모든 시상식도 대상부터 발표하면 재미가 없는 법이죠 그래서 저도 시상식처럼 긴장감 있게 Best 부터 소개하겠습니다.,0,하지만 원래 모든 시상식도 대상부터 발표하면 재미가 없는 법이죠 그래서 저도 시상식처럼 긴장감 있게 Best 부터 소개하겠습니다.,하지만 원래 모든 시상식 도 대상 부터 발표 하 면 재미 가 없 는 법 이 죠 그래서 저 도 시상식 처럼 긴장감 있 게 Best 부터 소개 하 겠 습니다 .
38,883,3,미세먼지 어제 오늘 정말심하다청정지역에서 살고 싶다 ㅠ.,-1,미세먼지 어제 오늘 정말심하다청정지역에서 살고 싶다 ㅠ.,미세먼지 어제 오늘 정말 심하 다 청정 지역 에서 살 고 싶 다 ㅠ.
39,1193,31,이런답변만 돌아온다.,-1,이런답변만 돌아온다.,이런 답변 만 돌아오 ㄴ다 .
40,1494,3,그래서 여전히 죽음은 내 것이 아니고 우리의 것도 아니고 남의 것이라고 생각한다.,0,그래서 여전히 죽음은 내 것이 아니고 우리의 것도 아니고 남의 것이라고 생각한다.,그래서 여전히 죽음 은 내 것 이 아니 고 우리 의 것 도 아니 고 남 의 것 이 라고 생각 하 ㄴ다 .
41,2643,2,UX UI를 선보이면서 TV 홈 화면도 더 편하게 리뉴얼이 되었는데 영화TV 방송 아이들 나라 넷플릭스 TV 앱으로 누구나 편안하게 볼 수 있도록 개편되어 좋더라고요.,1,UX UI를 선보이면서 TV 홈 화면도 더 편하게 리뉴얼이 되었는데 영화TV 방송 아이들 나라 넷플릭스 TV 앱으로 누구나 편안하게 볼 수 있도록 개편되어 좋더라고요.,UX UI 를 선보이 면서 TV 홈 화면 도 더 편하 게 리 뉴 얼 이 되 었 는데 영화 TV 방송 아이들 나라 넷플릭스 TV 앱으로 누구 나 편안 하 게 보 ㄹ 수 있 도록 개편 되 어 좋 더라고요 .
42,998,8,전자기계에 무뇌한 저도 하였답니다.ㅋㅋㅋ 이런식으로 네이버 클로바 스피커와 공유기 셋터박스와 연결을 해주면 끝 !U 티브이 이용하신다면 자동으로 티브이와 연결이 되니 참고하시면 될거같아요 네이버 클로바 스피커와 어플이 연결이 되면 이런식으로 핸드폰으로도 조작이 가능해지는데요스피커의 알람소리 호출명 기기 위치 설정 등 이런저런 조작을 할 수 있어요!,1,전자기계에 무뇌한 저도 하였답니다.ㅋㅋㅋ 이런식으로 네이버 클로바 스피커와 공유기 셋터박스와 연결을 해주면 끝 !U 티브이 이용하신다면 자동으로 티브이와 연결이 되니 참고하시면 될거같아요 네이버 클로바 스피커와 어플이 연결이 되면 이런식으로 핸드폰으로도 조작이 가능해지는데요스피커의 알람소리 호출명 기기 위치 설정 등 이런저런 조작을 할 수 있어요!,전자 기계 에 무 뇌 하 ㄴ 저 도 하였답니다.ㅋㅋㅋ 이런 식 으로 네이버 클로바 스피커 와 공유 이 기 셋 터 박스 와 연결 을 하 아 주 면 끝 ! U 티브이 이용 하 시 ㄴ다면 자동 으로 티브이 와 연결 이 되 니 참고 하 시 면 되 ㄹ 거 같 아요 네이버 클로바 스피커 와 어 프 ㄹ 이 연결 이 되 면 이런 식 으로 핸드폰 으로 도 조작 이 가능 하 아 지 는 데 요 스피커 의 알람 소리 호출 명 기기 위치 설정 등 이런저런 조작 을 하 ㄹ 수 있 어요 !
43,1821,171,깃허브 내 트론 TRX 시가총액 위의 코드 활성화 수준이 가장 높았으며 Sponsify ICO는 텔레그램 커뮤니티에서 가장 많은 언급량을 기록.,0,깃허브 내 트론 TRX 시가총액 위의 코드 활성화 수준이 가장 높았으며 Sponsify ICO는 텔레그램 커뮤니티에서 가장 많은 언급량을 기록.,깃허브 내 트론 TRX 시가총액 위 의 코드 활성 화 수준 이 가장 높 았 으며 Sponsify ICO 는 텔레그램 커뮤니티 에서 가장 많 은 언급 량 을 기록 .
44,1044,9,클로버가 아니라 클로바가 안에 있다는 군요.,0,클로버가 아니라 클로바가 안에 있다는 군요.,클로버 가 아니 라 클로바 가 안 에 있 다는 이 군요 .
45,2956,12,볼륨 으로 올려줘 볼만 한 거 추천해줘 처럼 대화 형식으로 말해도 됩니다.,1,볼륨 으로 올려줘 볼만 한 거 추천해줘 처럼 대화 형식으로 말해도 됩니다.,볼륨 으로 올리 어 주 어 볼 만 한 거 추천 하 아 주 어 처럼 대화 형식 으로 말 하 아도 되 ㅂ니다 .
46,879,28,근데 뭐라고 해야할지 모르겠다.,0,근데 뭐라고 해야할지 모르겠다.,근데 뭐 이 라고 하 아야 하 ㄹ지 모르 겠 다 .
47,3283,23,아들과딸북클럽을 준비할 때가 회사를 운영하면서 가장 힘든 시기가 아니었나 싶습니다.,-1,아들과딸북클럽을 준비할 때가 회사를 운영하면서 가장 힘든 시기가 아니었나 싶습니다.,아들 과 딸 북 클럽 을 준비 하 ㄹ 때 가 회사 를 운영 하 면서 가장 힘들 ㄴ 시기 가 아니 었 나 싶 습니다 .
48,1403,1,.,0,.,.
49,2661,44,참여 기간은 월 일 월부터 월 일 월까지에요.,0,참여 기간은 월 일 월부터 월 일 월까지에요.,참여 기간 은 월 일 월 부터 월 일 월 까지 에요 .
50,3155,3,구경하러 가기,0,구경하러 가기,구경 하 러 가 기
51,3017,26,미국의 얼라이드 마켓리서치 Allied Market Research가 조사한 대체 육류 시장은 년 억 만 달러 한화 약 조 억 원에서 년 억 달러 조 억 원 규모로 성장할 것으로 예측하고 있다.,0,미국의 얼라이드 마켓리서치 Allied Market Research가 조사한 대체 육류 시장은 년 억 만 달러 한화 약 조 억 원에서 년 억 달러 조 억 원 규모로 성장할 것으로 예측하고 있다.,미국 의 얼 라이드 마켓 리서치 Allied Market Research 가 조사 하 ㄴ 대체 육류 시장 은 년 억 만 달러 한화 약 조 억 원 에서 년 억 달러 조 억 원 규모 로 성장 하 ㄹ 것 으로 예측 하 고 있 다 .
52,2436,41,또 인공지능의 부정적인 영향으로는 인공지능이 사람이 하던 일들을 다 하게 되면서 인간은 생산 활동을 못하게 된다.,-1,또 인공지능의 부정적인 영향으로는 인공지능이 사람이 하던 일들을 다 하게 되면서 인간은 생산 활동을 못하게 된다.,또 인공지능 의 부정 적 이 ㄴ 영향 으로 는 인공지능 이 사람 이 하 던 일 들 을 다 하 게 되 면서 인간 은 생산 활동 을 못하 게 되 ㄴ다 .
